,User,Tweet
42,Jonnllanero,"RT @lucianacadahia: Clase básica de periodismo para @lasillavacia: Petro no viene a ""arrebatarle"" el voto a nadie. En todo caso su programa…"
43,Rubio6913,"@RevistaSemana Los rolos se quejaban de sus gobernantes, petro, claudia, peñalosa y llegó uno solo a Medellín y nos… https://t.co/O4enIsTmSa"
44,ULFTah4d6dvCCjw,RT @everstrongever: Verónica Alcocer dice que Petro con lo que tiene ya demostró en dos campañas que no puede y en esta tampoco va a poder.…
45,guidogomez1973,"RT @VickyDavilaH: Atención: Rodolfo Hernández (48,2%) le toma ventaja de nuevo a Gustavo Petro (47,2%), según encuesta de Invamer https://t…"
46,ZAIRACENITH,RT @StephBatesPress: Lo de #VargasLleras y #Petro nos deja claro que en la “política” todo se vale y detrás nuestro todos son amigos hacien…
47,SamaelSMT,RT @ingrodolfohdez: Ayer se hicieron públicos unos videos donde Petro y los politiqueros que lo rodean demuestran que son una banda crimina…
48,81hunterg,"RT @davidcancino: Con los Petrovideos y la manipulación del secuestro de la hija de Rodolfo, se rompió toda posibilidad de diálogo y racioc…"
49,wilsonperdomo07,"RT @AlfonsoGmezGme6: PETRO-VIDEOS. Con absoluta seguridad, todas las campañas acordaron destacar fallas, y asuntos negativos de sus adversa…"
50,felip_utoguerra,"RT @estebanrestre: Petro le va a ganar al establecimiento, no tengo ninguna duda."
51,cuentoycompongo,"RT @SaninPazC: Desde hace meses llenaron las calles de vallas con el lema ""Paren a Petro"". ¿Y dicen que Petro hace campaña sucia? No es des…"
52,lulu_doradoh,"RT @RafaNietoLoaiza: Aquellos de buena fe que apoyaron a Petro y, después de descubierta su estrategia de mentiras, difamaciones y calumnia…"
53,Cesar66028479,"RT @GustavoBolivar: Encuesta Invamer
Petro 47.2
Rodolfo 48.2

O nos movemos a conseguir un voto más o Rodolfo reencaucha al Duqueuribismo q…"
54,MCamacho_04,"RT @ColombiaHumana_: ¿Qué tal este Petro video hoy en Quibdó, Chocó?

#ElChocoConPetro
#RumboALaVictoria
@petrogustavo https://t.co/Vty3qtk…"
55,sandramos07,RT @FisicoImpuro: Petro anunció amenazas en su contra y de una vez salió la policía a decir que era mentira. Robolfo Hernández dice que qui…
56,germayago,"RT @Btoscano6: Y Nestor Morales ""el primer cuñao bobo de la nación"", Vicky  y Luis Carlos Velez alias ""pendejo feliz"", no aprovechan el gan…"
57,juca1017,"RT @MAndreaNieto: #LosPetroVideos son la prueba de lo que ya sabíamos! La guerra sucia, el ataque con noticias falsas, desprestigiar al con…"
58,luzcriadmon_s,"RT @GustavoBolivar: Encuesta Invamer
Petro 47.2
Rodolfo 48.2

O nos movemos a conseguir un voto más o Rodolfo reencaucha al Duqueuribismo q…"
59,Luise35670539,RT @DiazElfred: #UnVotoMásPorPetro esto no se detiene en my barrio petro presidente
60,alejandroher75,"RT @vital_impulso: Vote por Petro en la primera vuelta, pero después de ver los videos y ver que no hay ni mierd@ de delitos voy a volver a…"
61,afsabagh,RT @elcolombiano: Cristian Daes habría pagado los asesores de comunicaciones de Gustavo Petro. Esta es la polémica: https://t.co/LRpCz7h969…
62,AlexDeL17023933,"RT @AlfonsoGmezGme6: PETRO-VIDEOS. Con absoluta seguridad, todas las campañas acordaron destacar fallas, y asuntos negativos de sus adversa…"
63,nathannovGo,"@lcvelez @lafm Junio 9
Gustavo Petro 48,5%
Rodolfo Hernández 46,7%

Junio 10
Gustavo Petro 48,1% -0.4
Rodolfo Herná… https://t.co/qn4TNqJ8gc"
64,Danicocoramon,RT @FisicoImpuro: Egan Bernal se va a ir de culo cuando se entere que Gabriel García Márquez era más de izquierda que el mismísimo Gustavo…
65,AndresP84266697,"RT @UltimaHoraBLU: #Atención La Procuraduría abrió investigación al alcalde de Cali, Jorge Iván Ospina, por presunta participación en polít…"
66,Johanajjcol,"RT @VickyDavilaH: ¿Quién es Sebastián Guanumen, el estratega de Petro que montó campaña sucia contra Fico? https://t.co/FaA5qvN9WN"
67,MEEDITORES,"RT @elcolombiano: Le contamos aquí los detalles sobre la estrategia de la campaña de Petro para enlodar adversarios, mover bodegas y tenden…"
68,ogutiep,"RT @RevistaSemana: En una grabación conocida en exclusiva por SEMANA, se pudo escuchar como Verónica Alcocer, esposa de Gustavo Petro, le d…"
69,mancho1512,"RT @VickyDavilaH: Atención: Rodolfo Hernández (48,2%) le toma ventaja de nuevo a Gustavo Petro (47,2%), según encuesta de Invamer https://t…"
70,juanc_orjuela,RT @cristinaplazasm: ¡Pilas! No es solo ROY; es la campaña del pacto histórico en cabeza de Gustavo Petro. El candidato estaba en varias re…
71,anmunera,@alfombra182 Entonces Petro y secuaces son bandidos. Las cosas como son.
72,mafe_bs,RT @tobonsanin: El programa de gobierno de Gustavo Petro es el único que defiende realmente los derechos de la mujer y su empoderamiento ec…
73,luish_08,RT @DiegoASantos: ¿Ya saben la oposición y los medios a qué atenerse cuando Petro sea Presidente? Su grupo sin ética ni moral los vinculará…
74,WilchesErwin,"RT @JPEcheverry4: - Explícame por qué “Sandra peluquería” te anda mandando fotos desnuda?

- Tu por qué me revisas en celular sin permiso?…"
75,Petro__p,"RT @wady0801: ขายเก่งสุดวันนี้ : นนน กรภัทร์
ม่วนสุดวันนี้ : บลัฟทีมบอล
ตลกสุดวันนี้ : ซับใน 3 ตัว
เขินสุดวันนี้ : สนุกมั้ย? ก็ดี 

#MISTIN…"
76,AlvaroMolinaBr3,RT @RoyBarreras: Este si es el Supervideo inédito con el propio Petro! Veánlo! https://t.co/PfjjJ7qADV
77,tatocastanoc,Petristas!! Quienes me pueden confirmar que van a votar por Gustavo Petro para que nos sigamos de inmediato??. Come… https://t.co/Bsu60d3mSZ
78,MilenaR99235188,"@Gonzalo29142094 @Lindauer1991 Colombia no quiere más petro ,está campaña solo genera odio, división y lo más trizt… https://t.co/JkN8sQCcLA"
79,MarinesLondono,"RT @LaNocheNTN24: ""Aquí estamos viendo una guerra sucia por parte de la campaña de Gustavo Petro contra los demás, la campaña de Gaviria fu…"
80,willismithxxx,"RT @ElRoRodry: Interceptan a Gustavo Petro y Colombia se da cuenta que es un tipo correcto.

Gracias uribismo, por este nuevo impulso 🤭"
81,BeatrizBhv,"RT @BOLIBAR2: Han notado que las posturas no verbales de Petro son indignantes,oscuras,sobradas y hasta petulante,nunca asume una posición…"
82,negecas1,"RT @MariaFdaCabal: Así nos construyeron -a quienes hemos sido sus rivales-, nuestras biografías. Nos convirtieron en  asesinos, desplazador…"
83,Andresj74040480,"RT @CarreoPi2: Las encuestadoras y la registraduría, al parecer, ya le pusieron techo a Gustavo Petro del 47.1% Ojo al fraude, que vamos a…"
84,c_pedro,"Elet3 volume 3x maior que petro hj, nenhuma surpresa - movimento mais óbvio do ano."
85,SrCorleone11,RT @VillaPrensa: @DiegoASantos @andrutoy Petro jamás ha manifestado una intención de cambio. No se conoce ningún registro donde haya tenido…
86,MANUELGIOVANNY1,RT @LevyRincon: Aquí todos los periodistas carroñeros han vivido los últimos años de calumniar y meterse en la vida de Petro… Pero vaya y u…
